image1,image2,ssim_score
cat_1021.png,cat_1307.png,0.592194
cat_1098.png,cat_1112.png,0.592056
cat_1034.png,cat_1265.png,0.592041
cat_1095.png,cat_1302.png,0.591986
cat_1011.png,cat_1050.png,0.591804
cat_1220.png,cat_1264.png,0.590992
cat_1093.png,cat_1167.png,0.590937
cat_1302.png,cat_1307.png,0.590732
cat_1112.png,cat_1167.png,0.590531
cat_1112.png,cat_1302.png,0.590409
cat_1104.png,cat_1127.png,0.589680
cat_1093.png,cat_1127.png,0.589627
cat_1112.png,cat_1271.png,0.589409
cat_1167.png,cat_1304.png,0.589124
cat_1082.png,cat_1220.png,0.589023
cat_1271.png,cat_1302.png,0.588946
cat_103.png,cat_1082.png,0.588726
cat_103.png,cat_1302.png,0.588698
cat_1199.png,cat_1302.png,0.588586
cat_1038.png,cat_1302.png,0.588321
cat_1104.png,cat_1264.png,0.588292
cat_1008.png,cat_1093.png,0.587945
cat_1105.png,cat_1213.png,0.587236
cat_1081.png,cat_1104.png,0.587015
cat_1016.png,cat_1220.png,0.586481
cat_10.png,cat_1008.png,0.586466
cat_1220.png,cat_1302.png,0.586252
cat_103.png,cat_1177.png,0.586132
cat_10.png,cat_103.png,0.585968
cat_108.png,cat_1302.png,0.585963
cat_1011.png,cat_1220.png,0.585832
cat_1213.png,cat_1304.png,0.585674
cat_1093.png,cat_124.png,0.585664
cat_1039.png,cat_1264.png,0.585517
cat_1279.png,cat_1302.png,0.585473
cat_1011.png,cat_1016.png,0.585391
cat_103.png,cat_1271.png,0.585317
cat_117.png,cat_1266.png,0.585248
cat_1098.png,cat_1304.png,0.584973
cat_1021.png,cat_1190.png,0.584951
cat_1127.png,cat_1302.png,0.584913
cat_1250.png,cat_1302.png,0.584858
cat_1036.png,cat_1121.png,0.584691
cat_1040.png,cat_1210.png,0.584625
cat_1127.png,cat_1177.png,0.584618
cat_1011.png,cat_1098.png,0.584401
cat_1133.png,cat_1151.png,0.584374
cat_1151.png,cat_121.png,0.584299
cat_1082.png,cat_1112.png,0.583894
cat_1050.png,cat_1123.png,0.583867
cat_1021.png,cat_1274.png,0.583832
cat_1082.png,cat_1104.png,0.583600
cat_1006.png,cat_1266.png,0.583309
cat_1082.png,cat_1095.png,0.582763
cat_1021.png,cat_1095.png,0.582662
cat_119.png,cat_1220.png,0.582297
cat_121.png,cat_1271.png,0.582273
cat_1274.png,cat_1304.png,0.581720
cat_1104.png,cat_1282.png,0.581583
cat_100.png,cat_1302.png,0.581568
cat_1007.png,cat_1021.png,0.581510
cat_1213.png,cat_1279.png,0.581000
cat_1021.png,cat_1112.png,0.580939
cat_1220.png,cat_1272.png,0.580754
cat_1220.png,cat_124.png,0.580133
cat_103.png,cat_1093.png,0.579878
cat_1182.png,cat_1220.png,0.579823
cat_1082.png,cat_1279.png,0.579234
cat_1021.png,cat_1199.png,0.579011
cat_1082.png,cat_1177.png,0.578563
cat_1104.png,cat_1182.png,0.578494
cat_1081.png,cat_1302.png,0.578179
cat_1177.png,cat_1190.png,0.578095
cat_1050.png,cat_1098.png,0.577674
cat_1040.png,cat_1307.png,0.577615
cat_1040.png,cat_1175.png,0.577448
cat_1040.png,cat_108.png,0.577351
cat_1098.png,cat_1199.png,0.577248
cat_1105.png,cat_1271.png,0.577167
cat_1021.png,cat_1127.png,0.577111
cat_1005.png,cat_1167.png,0.577059
cat_1021.png,cat_1167.png,0.576890
cat_1040.png,cat_1182.png,0.576741
cat_10.png,cat_1271.png,0.576600
cat_1098.png,cat_1104.png,0.576567
cat_1167.png,cat_1302.png,0.576560
cat_10.png,cat_1082.png,0.576298
cat_1104.png,cat_1221.png,0.576205
cat_103.png,cat_1279.png,0.576026
cat_1104.png,cat_12.png,0.575772
cat_1210.png,cat_1271.png,0.575733
cat_1065.png,cat_1220.png,0.575632
cat_1082.png,cat_1271.png,0.575506
cat_1070.png,cat_1266.png,0.575183
cat_1011.png,cat_1213.png,0.575111
cat_1040.png,cat_1221.png,0.575103
cat_1098.png,cat_1274.png,0.574995
cat_103.png,cat_1167.png,0.574990
cat_1199.png,cat_1271.png,0.574982
cat_1082.png,cat_1210.png,0.574454
cat_1036.png,cat_1161.png,0.574256
cat_1011.png,cat_1038.png,0.574227
cat_1008.png,cat_1040.png,0.574118
cat_1221.png,cat_1304.png,0.574035
cat_1151.png,cat_1167.png,0.574026
cat_1151.png,cat_1304.png,0.573773
cat_103.png,cat_1264.png,0.573772
cat_1038.png,cat_1082.png,0.573736
cat_1034.png,cat_124.png,0.573586
cat_1238.png,cat_1266.png,0.573418
cat_1098.png,cat_1282.png,0.573388
cat_125.png,cat_1265.png,0.573341
cat_1040.png,cat_1272.png,0.573210
cat_1016.png,cat_1040.png,0.573153
cat_1081.png,cat_1304.png,0.573118
cat_1021.png,cat_1038.png,0.573017
cat_1220.png,cat_1265.png,0.572946
cat_1050.png,cat_1151.png,0.572788
cat_1171.png,cat_1206.png,0.572751
cat_1177.png,cat_1304.png,0.572596
cat_1104.png,cat_1112.png,0.572446
cat_1082.png,cat_1098.png,0.572310
cat_10.png,cat_1307.png,0.572180
cat_1210.png,cat_1213.png,0.572075
cat_1050.png,cat_1082.png,0.572052
cat_1104.png,cat_1199.png,0.571876
cat_1072.png,cat_1304.png,0.571652
cat_1093.png,cat_1302.png,0.571619
cat_1040.png,cat_1151.png,0.571511
cat_103.png,cat_1199.png,0.571344
cat_1039.png,cat_1167.png,0.571278
cat_1016.png,cat_1302.png,0.571271
cat_1008.png,cat_1177.png,0.571157
cat_1050.png,cat_1304.png,0.571095
cat_1081.png,cat_1282.png,0.571008
cat_1151.png,cat_1220.png,0.570987
cat_1055.png,cat_1238.png,0.570977
cat_1098.png,cat_1127.png,0.570777
cat_1011.png,cat_1221.png,0.570674
cat_1093.png,cat_1104.png,0.570615
cat_1058.png,cat_1266.png,0.570535
cat_1008.png,cat_112.png,0.570404
cat_1105.png,cat_1221.png,0.570248
cat_1220.png,cat_1304.png,0.570247
cat_1112.png,cat_1199.png,0.570082
cat_1055.png,cat_1062.png,0.569426
cat_1151.png,cat_1279.png,0.569411
cat_1011.png,cat_1210.png,0.569381
cat_1127.png,cat_1167.png,0.569261
cat_1190.png,cat_1304.png,0.569250
cat_10.png,cat_1098.png,0.569034
cat_1008.png,cat_1220.png,0.568988
cat_1104.png,cat_1190.png,0.568935
cat_1182.png,cat_1210.png,0.568691
cat_1112.png,cat_1279.png,0.568573
cat_1011.png,cat_1199.png,0.568517
cat_1040.png,cat_1190.png,0.568332
cat_1098.png,cat_1213.png,0.568327
cat_1038.png,cat_1220.png,0.568165
cat_1177.png,cat_1210.png,0.567946
cat_1112.png,cat_1307.png,0.567920
cat_1045.png,cat_1302.png,0.567884
cat_1161.png,cat_1262.png,0.567575
cat_10.png,cat_1199.png,0.567508
cat_1008.png,cat_131.png,0.567467
cat_1093.png,cat_1264.png,0.567285
cat_1011.png,cat_1304.png,0.567237
cat_1213.png,cat_1220.png,0.567142
cat_1177.png,cat_1264.png,0.567140
cat_1035.png,cat_1036.png,0.566976
cat_1021.png,cat_1175.png,0.566959
cat_1098.png,cat_1279.png,0.566849
cat_1016.png,cat_1021.png,0.566749
cat_100.png,cat_1040.png,0.566700
cat_1151.png,cat_1302.png,0.566670
cat_119.png,cat_1271.png,0.566398
cat_1050.png,cat_1105.png,0.566023
cat_1040.png,cat_1246.png,0.565670
cat_1213.png,cat_1221.png,0.565618
cat_1127.png,cat_1199.png,0.565612
cat_1040.png,cat_1105.png,0.565592
cat_1210.png,cat_1220.png,0.565591
cat_1105.png,cat_1151.png,0.565498
cat_1104.png,cat_1123.png,0.565383
cat_1104.png,cat_1175.png,0.565346
cat_1091.png,cat_1220.png,0.565088
cat_1040.png,cat_1050.png,0.564944
cat_1021.png,cat_1182.png,0.564921
cat_1011.png,cat_1167.png,0.564778
cat_1037.png,cat_1070.png,0.564365
cat_109.png,cat_1177.png,0.564290
cat_1005.png,cat_1220.png,0.564234
cat_1021.png,cat_12.png,0.564206
cat_10.png,cat_1302.png,0.563998
cat_1045.png,cat_1082.png,0.563963
cat_1152.png,cat_1210.png,0.563523
cat_1127.png,cat_1279.png,0.563380
cat_1177.png,cat_1288.png,0.563341
cat_1093.png,cat_1265.png,0.563295
cat_1221.png,cat_1282.png,0.563215
cat_1011.png,cat_1271.png,0.563192
cat_1033.png,cat_1104.png,0.562689
cat_1016.png,cat_1127.png,0.562651
cat_1151.png,cat_1213.png,0.561973
cat_1167.png,cat_1213.png,0.561858
cat_1112.png,cat_1265.png,0.561847
cat_1040.png,cat_1308.png,0.561799
cat_1040.png,cat_119.png,0.561556
cat_1050.png,cat_1081.png,0.561414
cat_1055.png,cat_1070.png,0.561384
cat_1127.png,cat_119.png,0.561032
cat_1039.png,cat_1220.png,0.560950
cat_1220.png,cat_1246.png,0.560942
cat_1037.png,cat_117.png,0.560625
cat_1082.png,cat_1221.png,0.560610
cat_1112.png,cat_124.png,0.560177
cat_1167.png,cat_1279.png,0.560053
cat_1213.png,cat_1271.png,0.559957
cat_1274.png,cat_1302.png,0.559943
cat_1039.png,cat_1304.png,0.559915
cat_1038.png,cat_1104.png,0.559800
cat_1046.png,cat_1266.png,0.559275
cat_1082.png,cat_1282.png,0.559238
cat_1011.png,cat_103.png,0.558997
cat_1177.png,cat_121.png,0.558850
cat_1036.png,cat_1203.png,0.558115
cat_1098.png,cat_1151.png,0.558015
cat_1038.png,cat_1167.png,0.557810
cat_1011.png,cat_1123.png,0.557634
cat_1081.png,cat_1213.png,0.557597
cat_1011.png,cat_1279.png,0.557553
cat_10.png,cat_125.png,0.557359
cat_1008.png,cat_1112.png,0.557282
cat_1040.png,cat_1165.png,0.557225
cat_1021.png,cat_1133.png,0.557199
cat_1190.png,cat_1220.png,0.556964
cat_10.png,cat_1272.png,0.556952
cat_1040.png,cat_109.png,0.556849
cat_1036.png,cat_117.png,0.556761
cat_1093.png,cat_1098.png,0.556679
cat_1177.png,cat_1182.png,0.556620
